10	29	54	84	131	196	249	315	384	442	
10	34	68	114	170	237	279	338	425	488	
10	29	53	81	117	164	223	290	355	419	
10	29	54	84	131	196	249	315	384	442	
10	34	68	114	170	237	279	338	425	488	
10	29	53	81	117	164	223	290	355	419	
10	29	59	102	158	212	283	381	471	588	
10	31	64	108	169	237	302	367	467	558	
10	32	68	118	165	233	305	386	474	586	
10	29	61	120	200	278	376	476	548	661	
10	25	53	101	162	228	306	433	519	613	
10	32	68	119	194	293	364	484	605	740	
10	29	60	121	209	288	397	495	621	798	
10	31	68	100	159	240	338	436	538	634	
10	29	72	144	229	330	457	564	669	796	
10	27	69	145	247	348	479	625	754	885	
10	29	72	139	208	322	471	645	776	873	
10	27	60	126	199	301	433	547	697	845	
