9960	9940	9905	9856	9790	9708	9610	9479	9332	9178	
9960	9934	9889	9825	9749	9640	9527	9401	9241	9068	
9960	9937	9908	9864	9805	9721	9616	9499	9370	9232	
9960	9940	9905	9856	9790	9708	9610	9479	9332	9178	
9960	9934	9889	9825	9749	9640	9527	9401	9241	9068	
9960	9937	9908	9864	9805	9721	9616	9499	9370	9232	
9960	9940	9900	9841	9759	9659	9530	9366	9189	8964	
9960	9937	9894	9839	9753	9648	9514	9356	9154	8939	
9960	9937	9893	9829	9751	9641	9506	9350	9168	8951	
9960	9940	9899	9827	9721	9596	9432	9236	9039	8786	
9960	9943	9909	9849	9759	9656	9516	9325	9127	8897	
9960	9936	9894	9824	9726	9584	9440	9243	8985	8705	
9960	9940	9899	9825	9712	9578	9406	9208	8962	8639	
9960	9938	9895	9841	9757	9630	9471	9288	9085	8844	
9960	9937	9887	9798	9677	9523	9328	9111	8870	8579	
9960	9941	9892	9801	9668	9504	9283	9025	8727	8416	
9960	9938	9889	9806	9699	9527	9295	9013	8709	8417	
9960	9941	9903	9823	9709	9560	9359	9121	8833	8518	
